domain	mediabias_leftcenterbias_x	mediabias_leftbias_x	mediabias_rightcenterbias_x	mediabias_rightbias_x	mediabias_leftcenterbias_y	mediabias_leftbias_y	mediabias_rightcenterbias_y	mediabias_rightbias_y
mainebeacon.com	0.0	1.0	0.0	0.0				
19thnews.org	0.0	1.0	0.0	0.0				
sfchronicle.com					1.0	0.0	0.0	0.0
sunlightfoundation.com					1.0	0.0	0.0	0.0
inquisitr.com					1.0	0.0	0.0	0.0
cjonline.com					1.0	0.0	0.0	0.0
providencejournal.com					1.0	0.0	0.0	0.0
theringer.com					1.0	0.0	0.0	0.0
good.is	0.0	1.0	0.0	0.0				
zcomm.org	0.0	1.0	0.0	0.0				
washingtonian.com	0.0	1.0	0.0	0.0				
wri.org					1.0	0.0	0.0	0.0
workers.org	0.0	1.0	0.0	0.0				
readsludge.com	0.0	1.0	0.0	0.0				
thenewcivilrightsmovement.com	0.0	1.0	0.0	0.0				
desmogblog.com	0.0	1.0	0.0	0.0				
courier-journal.com					1.0	0.0	0.0	0.0
sanfrancisco.cbslocal.co					1.0	0.0	0.0	0.0
Index.hr					1.0	0.0	0.0	0.0
taxjustice.net					1.0	0.0	0.0	0.0
nationalobserver.com					1.0	0.0	0.0	0.0
deadline.com					1.0	0.0	0.0	0.0
leftscoop.com	0.0	1.0	0.0	0.0				
delo.si					1.0	0.0	0.0	0.0
liberationnews.org	0.0	1.0	0.0	0.0				
newsandgutsmedia.com					1.0	0.0	0.0	0.0
hindustantimes.com					1.0	0.0	0.0	0.0
npr.org					1.0	0.0	0.0	0.0
techcrunch.com					1.0	0.0	0.0	0.0
eurasiareview.com					1.0	0.0	0.0	0.0
atlanticmedia.com					1.0	0.0	0.0	0.0
tomdispatch.com					1.0	0.0	0.0	0.0
deshabhimani.com	0.0	1.0	0.0	0.0				
vox.com	0.0	1.0	0.0	0.0				
